Word,Reading,Translation,Category
これ,これ,esto,pronoun
それ,それ,eso,pronoun
あれ,あれ,aquello,pronoun
どれ,どれ,cuál,pronoun
ここ,ここ,aquí,place
そこ,そこ,ahí,place
あそこ,あそこ,allí,place
どこ,どこ,dónde,place
この,この,este (antes de sustantivo),determiner
その,その,ese (antes de sustantivo),determiner
あの,あの,aquel (antes de sustantivo),determiner
どの,どの,cuál (antes de sustantivo),determiner
こちら,こちら,por aquí / este lado (formal),expression
そちら,そちら,por ahí / ese lado (formal),expression
あちら,あちら,por allí / aquel lado (formal),expression
どちら,どちら,cuál / dónde (formal),expression
ホテル,ほてる,hotel,noun
コンビニ,こんびに,tienda 24h / convenience store,noun
バス,ばす,autobús,noun
デパート,でぱーと,grandes almacenes,noun
大学,だいがく,universidad,noun
店,みせ,tienda,noun
駅,えき,estación,noun
バス停,ばすてい,parada de autobús,noun
