Word,Reading,Translation,Category
アパート,あぱーと,apartamento,noun
家,いえ,casa,noun
引っ越す,ひっこす,mudarse,verb
広い,ひろい,amplio,adjective
まだ,まだ,todavía,adverb
リビング,りびんぐ,salón,noun
キッチン,きっちん,cocina,noun
狭い,せまい,estrecho / pequeño,adjective
ベッド,べっど,cama,noun
エアコン,えあこん,aire acondicionado,noun
本棚,ほんだな,estantería,noun
掃除機,そうじき,aspiradora,noun
布団,ふとん,futón,noun
椅子,いす,silla,noun
テーブル,てーぶる,mesa,noun
多分,たぶん,quizás,adverb
電子レンジ,でんしれんじ,microondas,noun
机,つくえ,escritorio,noun
いつ,いつ,cuándo,expression
冷蔵庫,れいぞうこ,nevera,noun
洗濯機,せんたくき,lavadora,noun
今週,こんしゅう,esta semana,time
