Word,Reading,Translation,Category
仕事,しごと,trabajo,noun
家事 (します),かじ,chores,noun
家,うち,hogar,noun
帰る (帰ります),かえる,regresar (a punto long term),verb
後,あと,después / más tarde,noun
手伝う (手伝います),てつだう,ayudar,verb
掃除 (します),そうじ,limpieza,noun
宿題,しゅくだい,deberes,noun
色々,いろいろ,variado / de todo tipo,adjective
誰,だれ,quién,pronoun
洗濯 (します),せんたく,colada,noun
お風呂,おふろ,bañera,noun
大変,たいへん,duro / difícil / costoso,adjective
そして,soshite,y / además / y luego,expression
ストレッチ (します),すとれっち,estiramiento / estirar,noun
入る (入ります),はいる,entrar,verb
物,もの,cosa (objeto físico),noun
楽しい,たのしい,divertido,adjective
料理 (します),りょうり,cocina / plato / comida,noun
ガーデニング,がーでにんぐ,jardinería,noun
