Word,Reading,Translation,Category
来月,らいげつ,próximo mes,noun
フランス,ふらんす,Francia,noun
旅行 (します),りょこう,viaje,noun
会う (会います),あう,quedar / encontrarse con alguien,verb
スーツケース,すーつけーす,maleta,noun
飛行機,ひこうき,avión,noun
チケット,ちけっと,ticket,noun
絵,え,pintura / dibujo / cuadro,noun
美術館,びじゅつかん,museo de arte,noun
ライオン,らいおん,león,noun
写真,しゃしん,foto,noun
動物園,どうぶつえん,zoológico,noun
撮る (撮ります),とる,sacar (una foto) / filmar,verb
取る (取ります),とる,tomar / agarrar / quitar,verb
広場,ひろば,plaza,noun
肉,にく,carne,noun
計画 (します),けいかく,plan / planificación,noun
