Word,Reading,Translation,Category
暇,ひま,libre / desocupado,adjective
一緒,いっしょ,juntos,expression
卵,たまご,huevo,noun
醤油,しょうゆ,salsa de soja,noun
野菜,やさい,verdura,noun
スーパー,すーぱー,supermercado,noun
もっと,もっと,más,adverb
魚,さかな,pez,noun
豆腐,とうふ,tofu,noun
牛丼,ぎゅうどん,bol de arroz con ternera,noun
でも,でも,pero / sin embargo,expression
塩,しお,sal,noun
トンカツ,とんかつ,filete de cerdo empanado,noun
ソース,そーす,salsa,noun
生,なま,crudo / fresco / directo,noun
使う,つかう,utilizar,verb
コーラ,こーら,cola,noun
ビール,びーる,cerveza,noun
豚肉,ぶたにく,carne de cerdo,noun
しょっぱい,しょっぱい,salado,adjective
