Word,Reading,Translation,Category
博物館,はくぶつかん,museo,noun
午後,ごぜん,PM / de la tarde,noun
遊園地,ゆうえんち,parque de atracciones,noun
つまらない,つまらない,aburrido,adjective
入り口,いりぐち,entrada,noun
入場料,にゅうじょうりょう,admission fee,noun
大人,おとな,adulto,noun
ゴーカート,ごーかーと,go-kart,noun
アトラクション,あとらくしょん,atracción,noun
好きな,すきな,favorito,adjective
ジェットコースター,じぇっとこーすたー,roller coaster,noun
怖い,こわい,scary / da miedo,adjective
黄色い,きいろい,amarillo,adjective
顔,かお,cara,noun
ショー,しょー,show / espectáculo,noun
キャラクター,きゃらくたー,personaje,noun
〜サイズ,〜さいず,talla,noun
味,あじ,sabor,noun
バニラ,ばにら,vainilla,noun
チョコミント,ちょこみんと,chocomint,noun
