Word,Reading,Translation,Category
父,ちち,padre (propio),noun
母,はは,madre (propia),noun
家族,かぞく,familia,noun
忙しい,いそがしい,ocupado,adjective
エンジニア,えんじにあ,ingeniero,noun
歳,さい,años (contador de edad),counter
姉,あね,hermana mayor,noun
兄,あに,hermano mayor,noun
弟,おとうと,hermano menor,noun
妹,いもうと,hermana menor,noun
会社員,かいしゃいん,empleado de empresa,noun
看護師,かんごし,enfermero/a,noun
うるさい,うるさい,ruidoso / molesto,adjective
有名,ゆうめい,famoso,adjective
娘,むすめ,hija,noun
息子,むすこ,hijo,noun
妻,つま,esposa (propia),noun
夫,おっと,marido (propio),noun
大学生,だいがくせい,estudiante universitario,noun
おしゃれ,おしゃれ,elegante / con estilo,adjective
頭がいい,あたまがいい,inteligente,expression
