Word,Reading,Translation,Category
レストラン,れすとらん,restaurante,noun
定食,ていしょく,menú del día / comida combinada,noun
水,みず,agua,noun
大きい,おおきい,grande,adjective
サラダ,さらだ,ensalada,noun
小さい,ちいさい,pequeño,adjective
アイスクリーム,あいすくりーむ,helado,noun
少し,すこし,un poco,adverb
紅茶,こうちゃ,té negro,noun
みそ汁,みそしる,sopa de miso,noun
一つ,ひとつ,uno (cosas),number
二つ,ふたつ,dos (cosas),number
三つ,みっつ,tres (cosas),number
四つ,よっつ,cuatro (cosas),number
五つ,いつつ,cinco (cosas),number
六つ,むっつ,seis (cosas),number
七つ,ななつ,siete (cosas),number
八つ,やっつ,ocho (cosas),number
九つ,ここのつ,nueve (cosas),number
十,とお,diez (cosas),number
いくつ,いくつ,cuántos / cuántas,expression
個,こ,contador de unidades pequeñas,counter
