Word,Reading,Translation,Category
泳ぐ,およぐ,nadar,verb
一人で,ひとりで,solo / por uno mismo,expression
ドラマ,どらま,drama / serie,noun
遊ぶ,あそぶ,jugar / salir,verb
友達,ともだち,amigo,noun
ヨガ,よが,yoga,noun
スポーツ,すぽーつ,deporte,noun
ゲーム,げーむ,juego,noun
買う,かう,comprar,verb
出かける,でかける,salir / ir fuera,verb
話す,はなす,hablar,verb
テニス,てにす,tenis,noun
柔道,じゅうどう,judo,noun
動画,どうが,vídeo,noun
今日,きょう,hoy,time
明日,あした,mañana,time
昨日,きのう,ayer,time
一昨日,おととい,anteayer,time
週,しゅう,semana,time
週末,しゅうまつ,fin de semana,time
日,ひ,día,counter
月,つき / げつ,mes / luna,noun
年,とし / ねん,año,time
曜日,ようび,día de la semana,time
月曜日,げつようび,lunes,time
火曜日,かようび,martes,time
水曜日,すいようび,miércoles,time
木曜日,もくようび,jueves,time
金曜日,きんようび,viernes,time
土曜日,どようび,sábado,time
日曜日,にちようび,domingo,time
