Word,Reading,Translation,Category
ホーム,ほーむ,andén,noun
改札,かいさつ,torniquete / entrada estación,noun
階,かい,piso (contador),counter
ある,ある,haber (cosas inanimadas),verb
いる,いる,haber (personas/animales),verb
ゴミ箱,ごみばこ,papelera,noun
乗り換え,のりかえ,transbordo,noun
タクシー,たくしー,taxi,noun
お手洗い,おてあらい,baño,expression
地下,ちか,subsuelo / subterráneo,noun
コンセント,こんせんと,enchufe,noun
エレベーター,えれべーたー,ascensor,noun
遠い,とおい,lejos,adjective
電話,でんわ,teléfono,noun
階段,かいだん,escaleras,noun
近い,ちかい,cerca,adjective
自販機,じはんき,máquina expendedora,noun
出口,でぐち,salida,noun
コインロッカー,こいんろっかー,taquilla,noun
