Word,Reading,Translation,Category
花見,はなみ,flower viewing,noun
忘れる,わすれる (わすれます),forget,verb
アナウンス,あなうんす,announcement,noun
事故,じこ,accidente,noun
駅員,えきいん,station worker,noun
焼きそば,やきそば,fried noodles,noun
橋,はし,puente,noun
鴨,かも,pato,noun
そろそろ,そろそろ,pronto / ya es hora,adverb
来年,らいねん,next year,noun
兎,うさぎ,conejo,noun
足,あし,pies / piernas,noun
サイン,さいん,firma / autograph,noun
フェンス,ふぇんす,fence,noun
ピンク,ぴんく,pink,noun
入れる,いれる (いれます),insertar,verb
キーホルダー,きーほるだー,llavero,noun
鳥,とり,pájaro,noun
ベンチ,べんち,bench,noun
山羊,やぎ,cabra,noun
