Word,Reading,Translation,Category
門,もん,gate,noun
誰,だれ,quién,pronoun
スリッパ,すりっぱ,slippers,noun
玄関,げんかん,recibidor de casa,noun
奥さん,おくさん,wife (de otro),noun
履く,はく (はきます),ponerse (calzado o pantalones),verb
壁,かべ,pared,noun
旦那さん,だんなさん,husband (de otro),noun
ソファ,そふぁ,sofa,noun
ペット,ぺっと,pet,noun
家具,かぐ,mueble,noun
お子さん,おこさん,child (de otro),noun
間,あいだ,mientras / entre,noun
チキン,ちきん,pollo,noun
ダイニング,だいにんぐ,comedor,noun
花瓶,かびん,florero,noun
手作り,てづくり,hecho a mano,noun
~について,~について,acerca de ~,expression
僕,ぼく,yo (masculino informal),pronoun
向け,むけ,orientado a / destinado a,noun
ござる,ござる (ございます),ser / estar (muy educado),verb
申し訳ございません,もうしわけございません,lo siento muchísimo / no hay excusa,expression
レタス,れたす,lechuga,noun
かしこまる,かしこまる (かしこまりました),entendido / a la orden,verb
いかが,いかが,cómo (educado),adverb
無し,なし,sin / no hay,noun
