Word,Reading,Translation,Category
~人,~にん,person counter,counter
いらっしゃいませ,いらっしゃいませ,bienvenido (al entrar),expression
メニュー,めにゅー,menú,noun
冷たい,つめたい,frío al tacto,adjective
何名様,なんめいさま,¿cuántas personas?,counter
ウーロン茶,うーろんちゃ,té oolong,noun
箸,はし,palillos,noun
多い,おおい,muchos / abundante,adjective
スープ,すーぷ,sopa,noun
麻婆豆腐,まーぼーどうふ,mapo tofu,noun
辛い,からい,picante,adjective
ナプキン,なぷきん,servilleta,noun
店員,てんいん,camarero,noun
エビ,えび,gamba / camarón,noun
お釣り,おつり,el cambio (dinero),noun
全部,ぜんぶ,todo / en total,noun
会計,かいけい,la cuenta / caja,noun
開く,あく (あきます),abrirse,verb
