Word,Reading,Translation,Category
赤ちゃん,あかちゃん,baby / bebé,noun
果物,くだもの,fruta,noun
りんご,りんご,manzana,noun
予定,よてい,plan / schedule,noun
疲れる,つかれる (つかれます),cansarse,verb
すぐ,すぐ,inmediatamente,adverb
左,ひだり,izquierda,noun
メンズ,めんず,men's,noun
健康 的,けんこうてき,saludable,adjective
真ん中,まんなか,en medio,noun
みんな,みんな,everyone,noun
パーカー,ぱーかー,hoodie,noun
じゃがいも,じゃがいも,patata,noun
かご,かご,cesta,noun
奥,おく,fondo / profundidad,noun
スムージー,すむーじー,smoothie,noun
砂糖,さとう,azúcar,noun
猿,さる,monkey,noun
ステージ,すてーじ,stage / escenario,noun
戻る,もどる (もどります),regresar (a punto reciente),verb
