Word,Reading,Translation,Category
汚い,きたない,sucio,adjective
住む,すむ (すみます),residir,verb
スキー,すきー (すきーします),ski,noun
安全,あんぜん,safe,adjective
北,きた,norte,noun
辺り,あたり,alrededores,noun
また,また,otra vez,adverb
クローゼット,くろぜっと,closet,noun
ドア,どあ,door,noun
窓,まど,window,noun
大家,おおや,landlord,noun
親切,しんせつ,amable,adjective
みかん,みかん,mandarina,noun
家賃,やちん,rent,noun
電池,でんち,battery,noun
ターミナル,たーみなる,terminal,noun
さつまいも,さつまいも,sweet potato,noun
スノボー,すのぼー (すのぼーします),snowboard,noun
駐車場,ちゅうしゃじょう,parking lot,noun
スケート,すけーと (すけーとします),skate,noun
鍋,なべ,olla,noun
